Session Code,Sport,Venue,Zone,Date,Games Day,Session Type,Event,Start Time,End Time,Is in LA Area,Is Women's Event 🎉
BK301,3x3 Basketball,Valley Complex 3,Valley,"Sunday, July 16",2,Preliminary,Men's Pool Round (2 Games),14:00,16:00,TRUE,FALSE
BK301,3x3 Basketball,Valley Complex 3,Valley,"Sunday, July 16",2,Preliminary,Women's Pool Round (2 Games),14:00,16:00,TRUE,TRUE
BK302,3x3 Basketball,Valley Complex 3,Valley,"Sunday, July 16",2,Preliminary,Men's Pool Round (2 Games),17:30,19:30,TRUE,FALSE
BK302,3x3 Basketball,Valley Complex 3,Valley,"Sunday, July 16",2,Preliminary,Women's Pool Round (2 Games),17:30,19:30,TRUE,TRUE
BK303,3x3 Basketball,Valley Complex 3,Valley,"Sunday, July 16",2,Preliminary,Men's Pool Round (2 Games),21:00,23:00,TRUE,FALSE
BK303,3x3 Basketball,Valley Complex 3,Valley,"Sunday, July 16",2,Preliminary,Women's Pool Round (2 Games),21:00,23:00,TRUE,TRUE
BK304,3x3 Basketball,Valley Complex 3,Valley,"Monday, July 17",3,Preliminary,Men's Pool Round (2 Games),14:00,16:00,TRUE,FALSE
BK304,3x3 Basketball,Valley Complex 3,Valley,"Monday, July 17",3,Preliminary,Women's Pool Round (2 Games),14:00,16:00,TRUE,TRUE
BK305,3x3 Basketball,Valley Complex 3,Valley,"Monday, July 17",3,Preliminary,Men's Pool Round (2 Games),17:30,19:30,TRUE,FALSE
BK305,3x3 Basketball,Valley Complex 3,Valley,"Monday, July 17",3,Preliminary,Women's Pool Round (2 Games),17:30,19:30,TRUE,TRUE
BK306,3x3 Basketball,Valley Complex 3,Valley,"Monday, July 17",3,Preliminary,Men's Pool Round (2 Games),21:00,23:00,TRUE,FALSE
BK306,3x3 Basketball,Valley Complex 3,Valley,"Monday, July 17",3,Preliminary,Women's Pool Round (2 Games),21:00,23:00,TRUE,TRUE
BK307,3x3 Basketball,Valley Complex 3,Valley,"Tuesday, July 18",4,Preliminary,Men's Pool Round (2 Games),14:00,16:00,TRUE,FALSE
BK307,3x3 Basketball,Valley Complex 3,Valley,"Tuesday, July 18",4,Preliminary,Women's Pool Round (2 Games),14:00,16:00,TRUE,TRUE
BK308,3x3 Basketball,Valley Complex 3,Valley,"Tuesday, July 18",4,Preliminary,Men's Pool Round (2 Games),17:30,19:30,TRUE,FALSE
BK308,3x3 Basketball,Valley Complex 3,Valley,"Tuesday, July 18",4,Preliminary,Women's Pool Round (2 Games),17:30,19:30,TRUE,TRUE
BK309,3x3 Basketball,Valley Complex 3,Valley,"Tuesday, July 18",4,Preliminary,Men's Pool Round (2 Games),21:00,23:00,TRUE,FALSE
BK309,3x3 Basketball,Valley Complex 3,Valley,"Tuesday, July 18",4,Preliminary,Women's Pool Round (2 Games),21:00,23:00,TRUE,TRUE
BK310,3x3 Basketball,Valley Complex 3,Valley,"Wednesday, July 19",5,Preliminary,Men's Pool Round (2 Games),14:00,16:00,TRUE,FALSE
BK310,3x3 Basketball,Valley Complex 3,Valley,"Wednesday, July 19",5,Preliminary,Women's Pool Round (2 Games),14:00,16:00,TRUE,TRUE
BK311,3x3 Basketball,Valley Complex 3,Valley,"Wednesday, July 19",5,Preliminary,Men's Pool Round (2 Games),17:30,19:30,TRUE,FALSE
BK311,3x3 Basketball,Valley Complex 3,Valley,"Wednesday, July 19",5,Preliminary,Women's Pool Round (2 Games),17:30,19:30,TRUE,TRUE
BK312,3x3 Basketball,Valley Complex 3,Valley,"Wednesday, July 19",5,Preliminary,Men's Pool Round (2 Games),21:00,23:00,TRUE,FALSE
BK312,3x3 Basketball,Valley Complex 3,Valley,"Wednesday, July 19",5,Preliminary,Women's Pool Round (2 Games),21:00,23:00,TRUE,TRUE
BK313,3x3 Basketball,Valley Complex 3,Valley,"Thursday, July 20",6,Preliminary,Men's Pool Round (2 Games),14:00,16:00,TRUE,FALSE
BK313,3x3 Basketball,Valley Complex 3,Valley,"Thursday, July 20",6,Preliminary,Women's Pool Round (2 Games),14:00,16:00,TRUE,TRUE
BK314,3x3 Basketball,Valley Complex 3,Valley,"Thursday, July 20",6,Preliminary,Men's Pool Round (2 Games),17:30,19:30,TRUE,FALSE
BK314,3x3 Basketball,Valley Complex 3,Valley,"Thursday, July 20",6,Preliminary,Women's Pool Round (2 Games),17:30,19:30,TRUE,TRUE
BK315,3x3 Basketball,Valley Complex 3,Valley,"Thursday, July 20",6,Preliminary,Men's Pool Round (2 Games),21:00,23:00,TRUE,FALSE
BK315,3x3 Basketball,Valley Complex 3,Valley,"Thursday, July 20",6,Preliminary,Women's Pool Round (2 Games),21:00,23:00,TRUE,TRUE
BK316,3x3 Basketball,Valley Complex 3,Valley,"Friday, July 21",7,Preliminary,Men's Play-In (2 Games),14:00,16:00,TRUE,FALSE
BK316,3x3 Basketball,Valley Complex 3,Valley,"Friday, July 21",7,Preliminary,Women's Play-In (2 Games),14:00,16:00,TRUE,TRUE
BK317,3x3 Basketball,Valley Complex 3,Valley,"Friday, July 21",7,Quarterfinal,Men's Quarterfinal (2 Games),17:30,19:30,TRUE,FALSE
BK317,3x3 Basketball,Valley Complex 3,Valley,"Friday, July 21",7,Quarterfinal,Women's Quarterfinal (2 Games),17:30,19:30,TRUE,TRUE
BK318,3x3 Basketball,Valley Complex 3,Valley,"Friday, July 21",7,Quarterfinal,Men's Quarterfinal (2 Games),21:00,23:00,TRUE,FALSE
BK318,3x3 Basketball,Valley Complex 3,Valley,"Friday, July 21",7,Quarterfinal,Women's Quarterfinal (2 Games),21:00,23:00,TRUE,TRUE
BK319,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Semifinal,Men's Semifinal (2 Games),17:00,19:00,TRUE,FALSE
BK319,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Semifinal,Women's Semifinal (2 Games),17:00,19:00,TRUE,TRUE
BK320,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Final,Men's Bronze Medal Game,21:00,23:30,TRUE,FALSE
BK320,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Final,Women's Bronze Medal Game,21:00,23:30,TRUE,TRUE
BK320,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Final,Men's Gold Medal Game,21:00,23:30,TRUE,FALSE
BK320,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Final,Women's Gold Medal Game,21:00,23:30,TRUE,TRUE
